Genome	Mean	Std	Min	Max	Median	Nr_ORF	Upstream	Downstream	Upstream-Downstream	Min_Distance	pPolB	pPolB_distance	Polymerase	Pol_distance
WSUB01000003	-97.4	36.40659280954481	-167.0	-40.0	-103.0	10	10	0	10	40.0	N		-	
NC_055773	8.636363636363637	20.198737106964224	-23.0	59.0	9.0	33	11	22	-11	1.0	N		-	
JBDRFA010000057	-3.0	2.0	-5.0	-1.0	-3.0	2	2	0	2	1.0	N		-	
BEIQ01000001	-490.5529411764706	316.1327534208803	-1045.0	26.0	-448.0	170	167	3	164	10.0	N		-	
NC_030948	97.23300970873787	66.85663605167058	-5.0	235.0	79.0	103	3	100	-97	1.0	N		-	
NZ_CP022999	672.8448275862069	466.9136116554198	-158.0	1399.0	681.5	232	34	198	-164	1.0	N		-	
BK038524	5.5	3.9812058474788765	-1.0	12.0	5.5	10	1	9	-8	1.0	N		-	
BK030368	-4.111111111111111	4.483164667073781	-10.0	4.0	-5.0	9	7	2	5	1.0	N		-	
BK015931	-4.125	2.8476964374736293	-8.0	1.0	-4.5	8	7	1	6	1.0	N		-	
NZ_CP028843	682.9374275782155	1689.821751973487	-2273.0	3572.0	669.0	863	347	516	-169	5.0	N		-	
BK039483	6.357142857142857	4.849258306426766	-2.0	14.0	6.5	14	2	12	-10	1.0	N		-	
CM020528	1189.3164556962026	709.2861546815086	-23.0	2454.0	1059.0	79	1	78	-77	21.0	N		-	
ABBGAK010000009	-97.45631067961165	58.62763467473307	-188.0	10.0	-96.0	103	96	7	89	2.0	N		-	
MH552495	-0.25	4.736823830374104	-7.0	8.0	-1.5	8	5	3	2	1.0	N		-	
LR798344	-21.53846153846154	13.570983664905654	-47.0	2.0	-24.5	26	24	2	22	1.0	N		-	
JAYNMW010000151	-1.0	0.0	-1.0	-1.0	-1.0	1	1	0	1	1.0	N		-	
NC_009464	-1490.15925058548	887.0870747294944	-3053.0	58.0	-1502.0	427	420	7	413	1.0	N		-	
JAAYVD010000083	-0.75	2.277608394786075	-3.0	3.0	-1.5	4	3	1	2	1.0	N		-	
LC629471	24.404255319148938	50.09232309402399	-86.0	102.0	19.0	94	34	60	-26	1.0	N		-	
JAPJNE010000659	0.0	1.0	-1.0	1.0	0.0	2	1	1	0	1.0	N		-	
JAPLCQ010000011	-8.666666666666666	5.734883511361751	-16.0	-2.0	-8.0	3	3	0	3	2.0	N		-	
RKQZ01000001	1035.2267343485616	1138.0638957567533	-922.0	3055.0	1023.0	591	141	450	-309	2.0	N		-	
JAGCAI010000328	16.321428571428573	17.037885456133534	-15.0	41.0	19.5	28	7	21	-14	1.0	N		-	
MG592456	-165.70454545454547	123.58776409452635	-329.0	23.0	-194.0	132	111	21	90	1.0	N		-	
NC_070873	-27.18421052631579	20.310556320813614	-72.0	4.0	-24.5	38	35	3	32	1.0	N		-	
NZ_JBGCCN010000003	-40.888888888888886	51.65825157618373	-115.0	45.0	-52.0	63	44	19	25	1.0	N		-	
DPDG01000053	-22.833333333333332	11.667857082124758	-38.0	-6.0	-21.0	6	6	0	6	6.0	N		-	
NZ_BSTO01000001	-118.25	144.88878123778744	-338.0	126.0	-137.5	56	41	15	26	6.0	N		-	
DUHO01000031	1.0	7.445036697597362	-9.0	13.0	-1.0	7	4	3	1	1.0	N		-	
NZ_FOTK01000061	-15.2	8.997777503361593	-30.0	-5.0	-15.0	5	5	0	5	5.0	N		-	
MK892711	2.2222222222222223	23.82472001830488	-32.0	37.0	6.5	18	7	11	-4	2.0	N		-	
NZ_JH597761	440.135593220339	342.91927815740064	-195.0	1033.0	428.0	177	25	152	-127	11.0	N		-	
PRFC01000202	7.0	0.0	7.0	7.0	7.0	1	0	1	-1	7.0	N		-	
OP075159	3.2	4.093897898091744	-3.0	9.0	3.5	10	3	7	-4	1.0	N		-	
LC629467	76.7185628742515	84.35084176058412	-89.0	215.0	84.0	167	42	125	-83	1.0	N		-	
NZ_FORX01000009	18.8	29.3011945148999	-21.0	76.0	14.0	20	6	14	-8	1.0	N		-	
NZQM01000170	-0.6666666666666666	2.808716591058787	-4.0	4.0	-1.5	6	4	2	2	1.0	N		-	
PQ114753	6.4	4.054626986542659	-1.0	12.0	6.5	10	1	9	-8	1.0	N		-	
NZ_FQZU01000072	6.0	0.0	6.0	6.0	6.0	1	0	1	-1	6.0	N		-	
BK015140	-3.2857142857142856	6.040678431961706	-10.0	6.0	-6.0	7	5	2	3	2.0	N		-	
MEPP01000031	-104.03636363636363	108.68101174561076	-294.0	88.0	-100.0	55	43	12	31	18.0	N		-	
BK053918	6.923076923076923	4.615384615384616	-1.0	14.0	7.0	13	1	12	-11	1.0	N		-	
NC_071138	-41.58974358974359	25.799739562110226	-80.0	2.0	-47.0	39	37	2	35	1.0	N		-	
NZ_AGJK01000003	21.714285714285715	23.63138118838483	-23.0	69.0	19.5	42	6	36	-30	2.0	N		-	
DATJNL010000546	2.0	0.0	2.0	2.0	2.0	1	0	1	-1	2.0	N		-	
NZ_PZJX01000066	3.6666666666666665	4.784233364802441	-3.0	8.0	6.0	3	1	2	-1	3.0	N		-	
MU278360	-37.9375	79.96832869173896	-179.0	91.0	-20.0	16	10	6	4	8.0	N		-	
SSEM01000261	-3.888888888888889	5.801234436536273	-15.0	5.0	-3.0	9	7	2	5	1.0	N		-	
PFLU01000039	8.5	1.5	7.0	10.0	8.5	2	0	2	-2	7.0	N		-	
RGQQ01000011	-3.888888888888889	4.067334492827361	-10.0	2.0	-3.0	9	7	2	5	1.0	N		-	
BK017338	4.5	3.5	-2.0	10.0	4.5	10	1	9	-8	1.0	N		-	
JAYZLZ010000173	-1.25	1.479019945774904	-3.0	1.0	-1.5	4	3	1	2	1.0	N		-	
JACDGX010000033	-5.5	2.5	-8.0	-3.0	-5.5	2	2	0	2	3.0	N		-	
DATCQX010001001	-8.03125	12.68484424175165	-30.0	21.0	-9.5	32	24	8	16	1.0	N		-	
BK037030	2.75	4.8326148891326595	-9.0	9.0	3.5	12	3	9	-6	1.0	N		-	
PCBX01000061	-1.0	0.0	-1.0	-1.0	-1.0	1	1	0	1	1.0	N		-	
NZ_CP017015	-552.8603603603603	341.45294131315035	-1082.0	53.0	-601.0	222	209	13	196	1.0	N		-	
KF547927	8.0	4.0	4.0	12.0	8.0	2	0	2	-2	4.0	N		-	
NC_007346	191.97435897435898	150.88261478746284	-45.0	401.0	222.0	39	6	33	-27	2.0	N		-	
SOKM01000334	6.0	0.0	6.0	6.0	6.0	1	0	1	-1	6.0	N		-	
JAUSLB010000202	-7.5	0.5	-8.0	-7.0	-7.5	2	2	0	2	7.0	N		-	
MGPH01000011	1.1363636363636365	42.0905900243159	-82.0	59.0	20.0	44	17	27	-10	1.0	N		-	
NZ_JBHXMC010000013	-29.463768115942027	60.81203630626379	-145.0	59.0	-8.0	69	38	31	7	1.0	N		-	
DOEL01000056	1.5	0.5	1.0	2.0	1.5	2	0	2	-2	1.0	N		-	
JABWBX010000163	-3.5	4.5	-8.0	1.0	-3.5	2	1	1	0	1.0	N		-	
NZ_JACDUL010000002	171.12	143.92581051824348	-32.0	427.0	157.0	75	7	68	-61	1.0	N		-	
MWCF01000016	13.75	8.554969316134336	-3.0	25.0	16.5	8	1	7	-6	3.0	N		-	
DAORWC010000233	-0.6666666666666666	1.247219128924647	-2.0	1.0	-1.0	3	2	1	1	1.0	N		-	
NZ_SSSN01000014	-48.08	46.828128299132345	-118.0	32.0	-37.0	25	19	6	13	1.0	N		-	
LR798460	-17.5	17.132884003743044	-43.0	4.0	-12.0	14	11	3	8	1.0	N		-	
NC_073467	6.222222222222222	4.340449996583247	-1.0	13.0	6.0	9	1	8	-7	1.0	N		-	
JAOFBJ010000039	-0.6666666666666666	1.247219128924647	-2.0	1.0	-1.0	3	2	1	1	1.0	N		-	
NZ_JACHOS010000005	77.27586206896552	112.00940946262007	-82.0	259.0	52.0	87	37	50	-13	3.0	N		-	
NZ_MJKL01000008	23.333333333333332	18.672618098881227	-6.0	62.0	16.0	9	1	8	-7	6.0	N		-	
NZ_QTPW01000007	-18.67924528301887	67.04427531311373	-174.0	77.0	5.0	53	25	28	-3	1.0	N		-	
QHYH01000035	1.5	2.5	-1.0	4.0	1.5	2	1	1	0	1.0	N		-	
LJNR01000435	3.142857142857143	3.8332593899996397	-3.0	9.0	4.0	7	2	5	-3	1.0	N		-	
NZ_WLYK01000006	48.483870967741936	113.90555537947186	-151.0	256.0	52.5	62	23	39	-16	1.0	N		-	
MK113949	17.44	16.258117972262347	-10.0	41.0	16.0	25	4	21	-17	1.0	N		-	
JAZADQ010000048	1.5	0.5	1.0	2.0	1.5	2	0	2	-2	1.0	N		-	
MT790999	-5.0	0.0	-5.0	-5.0	-5.0	1	1	0	1	5.0	Y	-5.0	phrog_1907	-5.0
JBFLYW010000010	25.09090909090909	28.2213798562674	-19.0	64.0	31.0	11	4	7	-3	1.0	N		-	
BK017887	-23.214285714285715	14.77052359758918	-42.0	5.0	-22.5	14	12	2	10	4.0	N		-	
JAZGEW010000111	27.928571428571427	18.579805802899806	-3.0	60.0	27.0	14	2	12	-10	2.0	N		-	
JAGCOX010000010	-27.41860465116279	28.047495065484018	-69.0	20.0	-31.0	43	33	10	23	1.0	N		-	
DATBGG010000020	1.0	2.0	-1.0	3.0	1.0	2	1	1	0	1.0	N		-	
NZ_BAZW01000027	15.2	14.147791347061917	-1.0	32.0	13.0	5	1	4	-3	1.0	N		-	
NC_010153	23.761904761904763	15.77491909844099	-1.0	52.0	25.0	21	1	20	-19	1.0	N		-	
NZ_VFVY01000001	127.54014598540147	203.13190186719333	-187.0	532.0	64.0	137	36	101	-65	1.0	N		-	
MN855816	4.5	4.588027898781785	-2.0	12.0	3.5	10	2	8	-6	1.0	N		-	
NZ_VDCQ01000032	6.5	19.525624189766635	-25.0	36.0	14.5	8	3	5	-2	8.0	N		-	
NZ_FRAU01000006	82.78260869565217	49.78820929195038	-8.0	153.0	96.0	23	1	22	-21	8.0	N		-	
MK250085	-77.0625	83.17824892211905	-256.0	51.0	-66.5	32	25	7	18	9.0	N		-	
BK042305	-7.615384615384615	5.785106362142512	-20.0	1.0	-7.0	13	12	1	11	1.0	N		-	
OU895880	383.5970149253731	634.1462014135295	-823.0	1551.0	244.0	67	26	41	-15	5.0	N		-	
NZ_JAZGGR010000010	18.4	48.0615514447123	-76.0	88.0	26.0	55	13	42	-29	4.0	N		-	
BDQX01000096	1.0	0.0	1.0	1.0	1.0	1	0	1	-1	1.0	N		phrog_1268	1.0
NC_030920	2.4047619047619047	51.45111388669254	-80.0	123.0	-7.0	84	45	39	6	1.0	N		-	
NC_008584	33.08888888888889	45.262111809239514	-21.0	139.0	19.0	45	12	33	-21	1.0	N		-	
NZ_JAAKGT010000009	78.39285714285714	51.8971092545586	-14.0	183.0	70.5	28	1	27	-26	10.0	N		-	
NC_021806	-26.31578947368421	24.15204607564107	-81.0	24.0	-29.5	38	33	5	28	1.0	N		-	
NC_028800	-13.75	13.205112646244256	-39.0	6.0	-10.5	32	26	6	20	1.0	N		-	
JABWBS010000009	5.6	2.870540018881465	1.0	9.0	6.0	5	0	5	-5	1.0	N		-	
NC_048037	-28.083333333333332	19.35397604857691	-56.0	7.0	-31.5	12	11	1	10	6.0	N		-	
JBDRRX010000202	15.958333333333334	21.983856134799364	-21.0	59.0	15.0	24	6	18	-12	1.0	N		-	
MK892639	-7.0	17.308957218735046	-32.0	22.0	-5.0	20	12	8	4	1.0	N		-	
NC_034383	224.77611940298507	131.6816401594779	10.0	447.0	223.0	67	0	67	-67	10.0	N		-	
