seq_name	length	topology	coordinates	n_genes	genetic_code	virus_score	fdr	n_hallmarks	marker_enrichment	taxonomy
OR473000.1	53621	No terminal repeats	NA	66	11	0.9997	0.0003	10	95.9456	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Kyanoviridae
LR798234.1	35657	No terminal repeats	NA	60	11	0.9997	0.0003	5	78.6888	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NC_070873.1	40762	No terminal repeats	NA	34	11	0.9997	0.0003	3	53.0210	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Schitoviridae
LR797817.1	31410	No terminal repeats	NA	51	11	0.9997	0.0003	6	67.4584	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NC_023005.1	41386	DTR	NA	51	11	0.9997	0.0003	16	62.7742	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Autographiviridae
NC_025822.1	42544	No terminal repeats	NA	45	11	0.9997	0.0003	11	63.9571	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Autographiviridae
NC_042006.1	41208	No terminal repeats	NA	49	11	0.9997	0.0003	7	60.2153	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Autographiviridae
MW366784.1	41264	No terminal repeats	NA	49	11	0.9997	0.0003	7	59.8455	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Autographiviridae
MH669274.1	38031	No terminal repeats	NA	27	11	0.9997	0.0003	3	41.4811	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Schitoviridae
OR003940.1	37569	No terminal repeats	NA	59	11	0.9997	0.0003	6	84.2345	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NC_070991.1	43141	No terminal repeats	NA	57	11	0.9997	0.0003	6	83.5247	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
MK373771.1	45130	DTR	NA	50	11	0.9997	0.0003	17	77.6943	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Autographiviridae
NC_070984.1	43141	No terminal repeats	NA	56	11	0.9997	0.0003	7	80.7405	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
JAONWZ010000002.1	49435	No terminal repeats	NA	63	11	0.9997	0.0003	13	91.5885	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NC_005260.1	60998	No terminal repeats	NA	82	11	0.9997	0.0003	16	125.5940	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Straboviridae
NZHF01000041.1	14645	No terminal repeats	NA	14	11	0.9997	0.0003	5	23.4210	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Kyanoviridae
BK027723.1	15963	No terminal repeats	NA	22	11	0.9997	0.0003	6	25.7805	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NZZP01000035.1	8570	No terminal repeats	NA	10	11	0.9997	0.0003	4	17.1822	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Kyanoviridae
GU943037.1	19265	No terminal repeats	NA	39	11	0.9997	0.0003	4	51.9104	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NZYO01000025.1	15157	No terminal repeats	NA	34	11	0.9997	0.0003	4	53.3727	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NC_029070.1	41620	No terminal repeats	NA	47	11	0.9997	0.0003	10	59.2083	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Autographiviridae
LR796246.1	45419	No terminal repeats	NA	65	11	0.9997	0.0003	7	82.2050	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
MK089780.1	41767	DTR	NA	52	11	0.9997	0.0003	7	58.4970	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Autographiviridae
DQKG01000082.1	8184	No terminal repeats	NA	9	11	0.9997	0.0003	4	15.4632	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
MAXR01000078.1	6733	No terminal repeats	NA	16	11	0.9997	0.0003	2	17.9805	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
JABJNM010000076.1	3203	No terminal repeats	NA	4	11	0.9997	0.0003	1	6.4399	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NZEE01000076.1	6414	No terminal repeats	NA	8	11	0.9997	0.0003	3	11.4526	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
MW030556.1	19104	No terminal repeats	NA	23	11	0.9997	0.0003	2	31.9934	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NZRF01000269.1	8859	No terminal repeats	NA	15	11	0.9997	0.0003	0	21.1929	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
PAPZ01000020.1	23766	No terminal repeats	NA	21	11	0.9997	0.0003	5	30.2311	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NC_031935.1	33681	No terminal repeats	NA	24	11	0.9997	0.0003	6	39.3001	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Kyanoviridae
NC_021337.1	31185	No terminal repeats	NA	28	11	0.9997	0.0003	6	35.6236	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Autographiviridae
NC_055882.1	67670	No terminal repeats	NA	67	11	0.9997	0.0003	4	84.5065	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;
BK015936.1	28155	No terminal repeats	NA	37	11	0.9997	0.0003	12	52.5165	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NC_019420.1	41549	No terminal repeats	NA	46	11	0.9997	0.0003	3	62.9475	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NZHO01000040.1	10279	No terminal repeats	NA	14	11	0.9997	0.0003	5	21.5433	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
AP013912.1	22367	No terminal repeats	NA	26	11	0.9997	0.0003	8	41.2593	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NZRR01000013.1	10835	No terminal repeats	NA	11	11	0.9997	0.0003	4	18.4202	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Kyanoviridae
JAOJJN010000001.1	60593	No terminal repeats	NA	69	11	0.9997	0.0003	14	83.8459	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
MN380459.1	43329	DTR	NA	55	11	0.9997	0.0003	8	84.4409	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Autographiviridae
NZRF01000219.1	36858	No terminal repeats	NA	49	11	0.9997	0.0003	6	71.7172	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
RGWU01000057.1	13147	No terminal repeats	NA	18	11	0.9997	0.0003	9	23.5382	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
MT197175.1	44932	No terminal repeats	NA	57	11	0.9997	0.0003	9	89.0590	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Autographiviridae
MT701589.1	44346	No terminal repeats	NA	55	11	0.9997	0.0003	9	82.2778	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Autographiviridae
LR797193.1	36128	No terminal repeats	NA	33	11	0.9997	0.0003	6	31.8865	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NZGQ01000097.1	59227	No terminal repeats	NA	69	11	0.9997	0.0003	13	104.8407	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
MN516421.1	44227	No terminal repeats	NA	78	11	0.9997	0.0003	17	117.8338	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NC_047858.1	44601	No terminal repeats	NA	53	11	0.9997	0.0003	16	64.7727	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Autographiviridae
JACNIA010000013.1	10907	No terminal repeats	NA	16	11	0.9997	0.0003	1	24.6701	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
MN856111.1	7211	No terminal repeats	NA	7	11	0.9997	0.0003	3	9.3782	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Autographiviridae
NZRF01000122.1	19912	No terminal repeats	NA	37	11	0.9997	0.0003	1	47.1736	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
JAOGXC010000005.1	27543	No terminal repeats	NA	36	11	0.9997	0.0003	10	56.3345	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NC_048854.1	45385	No terminal repeats	NA	69	11	0.9997	0.0003	8	87.2592	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
OR544955.1	61340	No terminal repeats	NA	96	11	0.9997	0.0003	30	137.9426	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Straboviridae
LR796608.1	32060	No terminal repeats	NA	49	11	0.9997	0.0003	6	61.4487	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NC_028664.1	43963	No terminal repeats	NA	57	11	0.9997	0.0003	8	87.3431	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Autographiviridae
NC_047746.1	44541	No terminal repeats	NA	47	11	0.9997	0.0003	10	64.2188	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Autographiviridae
JACNGN010000036.1	2741	No terminal repeats	NA	4	11	0.9997	0.0003	2	6.3554	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
LC629609.1	60350	No terminal repeats	NA	83	11	0.9997	0.0003	7	118.7421	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Kyanoviridae
MT682706.1	43757	No terminal repeats	NA	69	11	0.9997	0.0003	16	102.5275	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Drexlerviridae
DNBQ01000113.1	4732	No terminal repeats	NA	5	11	0.9997	0.0003	2	8.5914	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
VAFL01000015.1	32623	No terminal repeats	NA	26	11	0.9997	0.0003	3	35.3959	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Schitoviridae
KR029605.1	33963	No terminal repeats	NA	60	11	0.9997	0.0003	11	88.2970	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
DNBZ01000268.1	4810	No terminal repeats	NA	14	11	0.9997	0.0003	0	20.0353	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NC_041898.1	42765	No terminal repeats	NA	67	11	0.9997	0.0003	12	89.0092	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NZ_CAXBCU010000052.1	24456	No terminal repeats	NA	29	11	0.9997	0.0003	0	38.6361	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NC_030920.1	61631	No terminal repeats	NA	56	11	0.9997	0.0003	7	63.4553	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Herelleviridae
LC629456.1	60263	No terminal repeats	NA	111	11	0.9997	0.0003	13	125.9344	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Kyanoviridae
NZIR01000025.1	20810	No terminal repeats	NA	34	11	0.9997	0.0003	5	50.6529	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Kyanoviridae
NYZL01000005.1	19995	No terminal repeats	NA	33	11	0.9997	0.0003	2	29.2895	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
LR796537.1	42588	No terminal repeats	NA	52	11	0.9997	0.0003	11	61.0023	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Autographiviridae
NC_041885.1	40556	DTR	NA	47	11	0.9997	0.0003	7	42.0272	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Autographiviridae
NC_047748.1	43865	DTR	NA	57	11	0.9997	0.0003	8	86.5317	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Autographiviridae
NC_049820.1	53145	No terminal repeats	NA	70	11	0.9997	0.0003	16	91.1831	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Drexlerviridae
LC629471.1	60455	No terminal repeats	NA	85	11	0.9997	0.0003	8	131.5977	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Kyanoviridae
NZAU01000044.1	14804	No terminal repeats	NA	13	11	0.9997	0.0003	4	21.8191	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Kyanoviridae
BK041070.1	17839	No terminal repeats	NA	24	11	0.9997	0.0003	4	27.2450	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NC_047825.1	50526	No terminal repeats	NA	79	11	0.9997	0.0003	18	122.1838	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Drexlerviridae
MK892636.1	39123	No terminal repeats	NA	41	11	0.9997	0.0003	3	43.4158	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NZLH01000017.1	9182	No terminal repeats	NA	19	11	0.9997	0.0003	1	30.5033	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
MK892772.1	53021	No terminal repeats	NA	73	11	0.9997	0.0003	5	71.2911	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
MN807240.1	46759	No terminal repeats	NA	48	11	0.9997	0.0003	11	63.9571	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Autographiviridae
NC_048029.1	43077	No terminal repeats	NA	51	11	0.9997	0.0003	7	48.6495	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Autographiviridae
LR796745.1	42228	No terminal repeats	NA	45	11	0.9997	0.0003	5	49.0539	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NC_020845.1	60464	No terminal repeats	NA	105	11	0.9997	0.0003	11	161.7130	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
LC629476.1	48860	No terminal repeats	NA	69	11	0.9997	0.0003	5	72.2494	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NC_027374.1	62135	No terminal repeats	NA	59	11	0.9997	0.0003	10	71.0789	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Herelleviridae
LR796186.1	56979	No terminal repeats	NA	70	11	0.9997	0.0003	14	85.7418	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
MK373793.1	43157	No terminal repeats	NA	68	11	0.9997	0.0003	16	101.7877	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Drexlerviridae
NC_028760.1	49037	No terminal repeats	NA	73	11	0.9997	0.0003	20	104.7498	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Drexlerviridae
LC629477.1	60482	No terminal repeats	NA	102	11	0.9997	0.0003	9	130.2050	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Kyanoviridae
LR796499.1	50091	No terminal repeats	NA	71	11	0.9997	0.0003	4	50.1602	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
OP272492.1	39290	No terminal repeats	NA	82	11	0.9997	0.0003	20	66.3100	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Autographiviridae
DUHL01000228.1	6930	No terminal repeats	NA	10	11	0.9997	0.0003	2	11.5051	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
MN940411.1	43051	No terminal repeats	NA	34	11	0.9997	0.0003	6	36.9124	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Herelleviridae
RGWU01000192.1	5370	No terminal repeats	NA	7	11	0.9997	0.0003	2	9.7919	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
LR796860.1	59112	No terminal repeats	NA	90	11	0.9997	0.0003	17	110.8304	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NC_049509.1	34509	No terminal repeats	NA	37	11	0.9997	0.0003	8	52.1710	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Ackermannviridae
MN855785.1	26816	No terminal repeats	NA	21	11	0.9997	0.0003	1	27.1600	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Schitoviridae
NC_048684.1	45221	DTR	NA	60	11	0.9997	0.0003	7	84.7483	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NC_054969.1	38940	No terminal repeats	NA	28	11	0.9997	0.0003	3	31.8596	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Schitoviridae
MW787012.1	49591	No terminal repeats	NA	52	11	0.9997	0.0003	6	63.4640	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Herelleviridae
NC_023706.1	39099	No terminal repeats	NA	38	11	0.9997	0.0003	7	39.2438	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
LC629469.1	60473	No terminal repeats	NA	111	11	0.9997	0.0003	10	141.8692	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Kyanoviridae
QMYQ01000066.1	5470	No terminal repeats	NA	13	11	0.9997	0.0003	0	15.9605	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
MT909815.1	61046	No terminal repeats	NA	47	11	0.9997	0.0003	11	64.3418	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Herelleviridae
JAONXH010000001.1	44638	No terminal repeats	NA	46	11	0.9997	0.0003	5	50.7843	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Schitoviridae
LC663051.1	23605	No terminal repeats	NA	41	11	0.9997	0.0003	7	63.8457	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Kyanoviridae
MK892710.1	47669	No terminal repeats	NA	50	11	0.9997	0.0003	5	59.0315	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Autographiviridae
NZEU01000015.1	53735	No terminal repeats	NA	95	11	0.9997	0.0003	12	127.5173	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
JAOGWT010000005.1	11585	No terminal repeats	NA	15	11	0.9997	0.0003	6	21.8199	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
DAORWC010000233.1	3582	No terminal repeats	NA	6	11	0.9997	0.0003	0	6.5297	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NZRF01000237.1	40401	No terminal repeats	NA	45	11	0.9997	0.0003	3	69.4802	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
MG592403.1	43743	No terminal repeats	NA	50	11	0.9997	0.0003	11	66.7417	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
BK021570.1	17439	No terminal repeats	NA	28	11	0.9997	0.0003	5	24.2192	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
QLUM01000027.1	13709	No terminal repeats	NA	16	11	0.9997	0.0003	6	21.7641	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
JACNHO010000033.1	6273	No terminal repeats	NA	8	11	0.9997	0.0003	3	12.7424	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
PCCC01000030.1	10647	No terminal repeats	NA	13	11	0.9997	0.0003	5	22.3209	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Kyanoviridae
BK020549.1	16514	No terminal repeats	NA	24	11	0.9997	0.0003	5	18.9073	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NC_025436.1	61949	No terminal repeats	NA	83	11	0.9997	0.0003	6	94.2305	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
MK892645.1	34340	No terminal repeats	NA	50	11	0.9997	0.0003	8	54.4405	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
MK820013.2	45105	DTR	NA	48	11	0.9997	0.0003	10	65.1262	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Autographiviridae
LR796392.1	34625	No terminal repeats	NA	52	11	0.9997	0.0003	11	68.6457	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NYWG01000192.1	25856	No terminal repeats	NA	37	11	0.9997	0.0003	6	60.9953	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Kyanoviridae
JAOLCN010000001.1	60614	No terminal repeats	NA	65	11	0.9997	0.0003	6	94.0445	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
LR797122.1	33542	No terminal repeats	NA	49	11	0.9997	0.0003	4	67.8179	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NC_017980.1	18397	ITR	NA	27	11	0.9997	0.0003	5	30.2790	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Guelinviridae
RGWU01000236.1	4590	No terminal repeats	NA	9	11	0.9997	0.0003	2	11.5102	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
LR796354.1	46610	No terminal repeats	NA	63	11	0.9997	0.0003	4	78.1810	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NZMJ01000107.1	4024	No terminal repeats	NA	11	11	0.9997	0.0003	0	14.6240	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
LR797056.1	34665	No terminal repeats	NA	51	11	0.9997	0.0003	5	63.3243	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
BK018683.1	41658	No terminal repeats	NA	66	11	0.9997	0.0003	9	75.8381	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NZRF01000035.1	18993	No terminal repeats	NA	22	11	0.9997	0.0003	1	31.2573	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NZ_CP043865.1|provirus_17622_61884	44263	Provirus	17622-61884	66	11	0.9997	0.0003	2	92.9196	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Schitoviridae
NC_031927.1	31310	No terminal repeats	NA	25	11	0.9997	0.0003	4	36.1926	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Kyanoviridae
NZAX01000079.1	12953	No terminal repeats	NA	18	11	0.9997	0.0003	5	25.2121	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Kyanoviridae
