Unnamed: 0,Hit,%I,aln_hit,E-value,Bit-Score,len(Qry),len(aln),%aln,Database,Method,TP
76,MBQ8168678.1,23.207,237.0,9.309999999999999e-28,117.0,266,232.0,0.8721804511278195,nr,PSI-BLAST,phi29
77,AAA32196.1,70.192,104.0,3.4e-26,109.0,266,104.0,0.3909774436090225,nr,PSI-BLAST,phi29
78,DAW59525.1,22.835,254.0,4.5799999999999995e-24,107.0,266,250.0,0.9398496240601504,nr,PSI-BLAST,phi29
79,DAU65350.1,18.577,253.0,4.32e-21,99.8,266,249.0,0.9360902255639098,nr,PSI-BLAST,phi29
80,MBO5715289.1,22.363,237.0,3.35e-20,99.0,266,227.0,0.8533834586466166,nr,PSI-BLAST,phi29
81,HWI49890.1,40.0,130.0,5.22e-20,93.6,266,129.0,0.4849624060150376,nr,PSI-BLAST,phi29
82,MBO7714060.1,19.713,279.0,6.19e-19,94.8,266,262.0,0.9849624060150376,nr,PSI-BLAST,phi29
83,DAK04608.1,18.1,221.0,1.17e-18,93.6,266,217.0,0.8157894736842105,nr,PSI-BLAST,phi29
84,MDY2575742.1,20.961,229.0,1.19e-18,93.6,266,223.0,0.8383458646616542,nr,PSI-BLAST,phi29
85,WP_238629291.1,59.459,74.0,2.84e-18,87.4,266,73.0,0.2744360902255639,nr,PSI-BLAST,phi29
86,MBO7712864.1,21.053,228.0,4.19e-18,92.4,266,223.0,0.8383458646616542,nr,PSI-BLAST,phi29
87,MBR0369953.1,19.173,266.0,1.18e-17,90.9,266,250.0,0.9398496240601504,nr,PSI-BLAST,phi29
88,DAE96383.1,19.6,250.0,1.86e-17,90.1,266,241.0,0.9060150375939848,nr,PSI-BLAST,phi29
89,MBO7694246.1,20.301,266.0,3.6e-17,89.7,266,250.0,0.9398496240601504,nr,PSI-BLAST,phi29
90,DAX02392.1,21.162,241.0,6.15e-17,88.6,266,239.0,0.8984962406015038,nr,PSI-BLAST,phi29
91,MBQ2167681.1,23.358,137.0,1.11e-16,88.6,266,133.0,0.5,nr,PSI-BLAST,phi29
92,DAK66860.1,16.996,253.0,1.32e-16,87.8,266,247.0,0.9285714285714286,nr,PSI-BLAST,phi29
93,WP_308698242.1,21.198,217.0,1.43e-16,87.4,266,213.0,0.8007518796992481,nr,PSI-BLAST,phi29
94,MBR3117556.1,20.982,224.0,2.89e-16,87.1,266,221.0,0.8308270676691729,nr,PSI-BLAST,phi29
95,YP_009910414.1,17.297,185.0,3.44e-16,85.9,266,177.0,0.6654135338345865,nr,PSI-BLAST,phi29
96,DAF80527.1,20.076,264.0,6.29e-16,87.8,266,244.0,0.9172932330827068,nr,PSI-BLAST,phi29
97,DAD72321.1,17.842,241.0,7.91e-16,85.9,266,238.0,0.8947368421052632,nr,PSI-BLAST,phi29
98,MDD4439122.1,20.321,187.0,1.74e-15,84.7,266,187.0,0.7030075187969925,nr,PSI-BLAST,phi29
99,DAO26671.1,18.677,257.0,2.53e-15,84.4,266,253.0,0.9511278195488722,nr,PSI-BLAST,phi29
100,MBO5738685.1,19.573,281.0,6.23e-15,85.1,266,262.0,0.9849624060150376,nr,PSI-BLAST,phi29
101,WP_060812158.1,20.377,265.0,3.25e-14,82.0,266,253.0,0.9511278195488722,nr,PSI-BLAST,phi29
102,DAF75000.1,16.797,256.0,1.6e-13,79.3,266,252.0,0.9473684210526316,nr,PSI-BLAST,phi29
103,DAX09221.1,19.658,234.0,2.59e-13,79.0,266,227.0,0.8533834586466166,nr,PSI-BLAST,phi29
104,DAO80396.1,17.969,256.0,3.2e-13,78.6,266,252.0,0.9473684210526316,nr,PSI-BLAST,phi29
105,DAF70395.1,19.767,258.0,4.22e-13,78.2,266,253.0,0.9511278195488722,nr,PSI-BLAST,phi29
106,HBH6004542.1,21.635,208.0,5.07e-13,77.8,266,207.0,0.7781954887218046,nr,PSI-BLAST,phi29
107,DAU03933.1,17.188,256.0,5.5e-13,77.8,266,252.0,0.9473684210526316,nr,PSI-BLAST,phi29
108,DAW98648.1,16.814,226.0,8.13e-13,77.4,266,221.0,0.8308270676691729,nr,PSI-BLAST,phi29
109,HBN10498.1,18.462,260.0,9.25e-13,77.4,266,252.0,0.9473684210526316,nr,PSI-BLAST,phi29
110,MBO5810611.1,18.952,248.0,1.04e-12,77.4,266,233.0,0.8759398496240601,nr,PSI-BLAST,phi29
111,DAH23828.1,17.736,265.0,1.39e-12,78.2,266,247.0,0.9285714285714286,nr,PSI-BLAST,phi29
112,HFP6872704.1,20.982,224.0,1.6e-12,76.7,266,213.0,0.8007518796992481,nr,PSI-BLAST,phi29
113,DAP12941.1,21.138,246.0,2.17e-12,76.3,266,239.0,0.8984962406015038,nr,PSI-BLAST,phi29
114,DAU67049.1,17.308,260.0,2.54e-12,75.9,266,256.0,0.962406015037594,nr,PSI-BLAST,phi29
115,DAQ53464.1,17.829,258.0,6.02e-12,75.5,266,252.0,0.9473684210526316,nr,PSI-BLAST,phi29
116,DAU41979.1,17.188,256.0,7.77e-12,74.7,266,252.0,0.9473684210526316,nr,PSI-BLAST,phi29
117,UWG85459.1,18.265,219.0,1.03e-11,74.3,266,212.0,0.7969924812030075,nr,PSI-BLAST,phi29
118,DAW67272.1,18.972,253.0,1.11e-11,74.3,266,247.0,0.9285714285714286,nr,PSI-BLAST,phi29
119,DAL87764.1,22.4,250.0,1.94e-11,74.0,266,242.0,0.9097744360902256,nr,PSI-BLAST,phi29
120,YP_009910415.1,33.333,75.0,2.31e-11,69.7,266,74.0,0.2781954887218045,nr,PSI-BLAST,phi29
121,DAU73763.1,21.008,238.0,1.43e-10,71.3,266,232.0,0.8721804511278195,nr,PSI-BLAST,phi29
122,DAF15172.1,15.234,256.0,2.64e-10,70.5,266,252.0,0.9473684210526316,nr,PSI-BLAST,phi29
123,DAM29426.1,15.476,252.0,3.96e-10,69.7,266,246.0,0.924812030075188,nr,PSI-BLAST,phi29
124,MBQ8426182.1,16.535,254.0,4.19e-10,70.9,266,252.0,0.9473684210526316,nr,PSI-BLAST,phi29
125,MBQ8426182.1,25.0,116.0,1.16e-07,63.9,266,112.0,0.4210526315789473,nr,PSI-BLAST,phi29
126,DAI89915.1,16.406,256.0,4.32e-10,69.7,266,252.0,0.9473684210526316,nr,PSI-BLAST,phi29
127,DAJ65761.1,17.722,237.0,7.7e-10,69.3,266,233.0,0.8759398496240601,nr,PSI-BLAST,phi29
128,UVY25578.1,20.264,227.0,1.59e-09,68.2,266,220.0,0.8270676691729323,nr,PSI-BLAST,phi29
129,DAG82535.1,14.719,231.0,2.38e-09,67.8,266,227.0,0.8533834586466166,nr,PSI-BLAST,phi29
130,WP_347280256.1,17.53,251.0,2.74e-09,67.8,266,248.0,0.9323308270676692,nr,PSI-BLAST,phi29
131,WP_237502400.1,22.667,150.0,4.11e-09,65.5,266,150.0,0.5639097744360902,nr,PSI-BLAST,phi29
132,DAO82390.1,16.81,232.0,5.31e-09,66.6,266,228.0,0.8571428571428571,nr,PSI-BLAST,phi29
133,MEE0930468.1,17.143,140.0,5.78e-09,66.6,266,140.0,0.5263157894736842,nr,PSI-BLAST,phi29
134,DAQ51055.1,12.891,256.0,6.59e-09,66.6,266,244.0,0.9172932330827068,nr,PSI-BLAST,phi29
135,UWD67627.1,17.6,250.0,6.88e-09,66.3,266,246.0,0.924812030075188,nr,PSI-BLAST,phi29
136,DAH41475.1,15.81,253.0,2.06e-08,65.1,266,247.0,0.9285714285714286,nr,PSI-BLAST,phi29
137,DAX14221.1,20.884,249.0,3e-08,64.7,266,247.0,0.9285714285714286,nr,PSI-BLAST,phi29
138,MBO7241797.1,15.766,222.0,3.27e-08,65.5,266,217.0,0.8157894736842105,nr,PSI-BLAST,phi29
139,DAH77864.1,18.834,223.0,3.94e-08,64.3,266,219.0,0.8233082706766918,nr,PSI-BLAST,phi29
140,MDY5645606.1,16.216,222.0,5.42e-08,64.3,266,215.0,0.8082706766917294,nr,PSI-BLAST,phi29
141,DAP04502.1,15.234,256.0,9e-08,63.6,266,244.0,0.9172932330827068,nr,PSI-BLAST,phi29
142,DAX12073.1,18.143,237.0,1.5e-07,62.4,266,233.0,0.8759398496240601,nr,PSI-BLAST,phi29
143,UWI36984.1,15.517,232.0,2.34e-07,62.0,266,231.0,0.868421052631579,nr,PSI-BLAST,phi29
144,DAG56056.1,17.427,241.0,7.18e-07,61.2,266,235.0,0.8834586466165414,nr,PSI-BLAST,phi29
145,MBO7712828.1,19.091,220.0,7.83e-07,60.9,266,213.0,0.8007518796992481,nr,PSI-BLAST,phi29
146,MBO5434495.1,18.86,228.0,1.11e-06,60.5,266,218.0,0.8195488721804511,nr,PSI-BLAST,phi29
147,WP_302540756.1,18.386,223.0,1.17e-06,60.5,266,216.0,0.8120300751879699,nr,PSI-BLAST,phi29
148,DAE89209.1,15.493,213.0,1.29e-06,60.1,266,207.0,0.7781954887218046,nr,PSI-BLAST,phi29
149,DAG06551.1,16.4,250.0,1.88e-06,59.7,266,238.0,0.8947368421052632,nr,PSI-BLAST,phi29
150,WP_303185933.1,14.407,236.0,4.37e-06,58.5,266,225.0,0.8458646616541353,nr,PSI-BLAST,phi29
151,DAP52549.1,22.321,224.0,4.92e-06,58.5,266,219.0,0.8233082706766918,nr,PSI-BLAST,phi29
152,MBO7308554.1,17.904,229.0,5.03e-06,58.5,266,222.0,0.8345864661654135,nr,PSI-BLAST,phi29
153,DAV45373.1,15.936,251.0,1.19e-05,57.4,266,239.0,0.8984962406015038,nr,PSI-BLAST,phi29
154,AAA32290.1,100.0,40.0,2.65e-05,51.6,266,40.0,0.150375939849624,nr,PSI-BLAST,phi29
155,MBR2651934.1,15.284,229.0,2.95e-05,56.2,266,226.0,0.849624060150376,nr,PSI-BLAST,phi29
156,DAF56532.1,17.117,222.0,3.85e-05,55.9,266,215.0,0.8082706766917294,nr,PSI-BLAST,phi29
157,DAL41398.1,15.61,205.0,4.52e-05,55.9,266,185.0,0.6954887218045113,nr,PSI-BLAST,phi29
158,UVY61845.1,14.623,212.0,4.77e-05,55.5,266,206.0,0.7744360902255639,nr,PSI-BLAST,phi29
159,DAF83813.1,13.469,245.0,5.14e-05,55.5,266,241.0,0.9060150375939848,nr,PSI-BLAST,phi29
160,MBO5870271.1,11.765,153.0,5.2e-05,55.1,266,153.0,0.575187969924812,nr,PSI-BLAST,phi29
161,MBP5362725.1,18.421,228.0,6.06e-05,55.9,266,220.0,0.8270676691729323,nr,PSI-BLAST,phi29
162,MBP5699329.1,16.959,171.0,6.94e-05,53.9,266,171.0,0.6428571428571429,nr,PSI-BLAST,phi29
163,HBM70167.1,16.81,232.0,9.49e-05,54.3,266,226.0,0.849624060150376,nr,PSI-BLAST,phi29
164,MBO7692632.1,16.432,213.0,9.52e-05,54.7,266,211.0,0.793233082706767,nr,PSI-BLAST,phi29
165,DAR03116.1,18.018,222.0,0.000135,54.3,266,215.0,0.8082706766917294,nr,PSI-BLAST,phi29
166,DAT89030.1,14.646,198.0,0.000172,53.9,266,191.0,0.7180451127819549,nr,PSI-BLAST,phi29
167,DAW97722.1,14.341,258.0,0.000197,53.5,266,248.0,0.9323308270676692,nr,PSI-BLAST,phi29
168,MBQ1551519.1,18.182,220.0,0.000249,53.5,266,213.0,0.8007518796992481,nr,PSI-BLAST,phi29
169,DAL79380.1,18.09,199.0,0.000266,53.5,266,196.0,0.7368421052631579,nr,PSI-BLAST,phi29
170,MCI7601928.1,15.695,223.0,0.000316,53.2,266,216.0,0.8120300751879699,nr,PSI-BLAST,phi29
171,DAW91747.1,17.838,185.0,0.000418,52.8,266,178.0,0.6691729323308271,nr,PSI-BLAST,phi29
172,MBQ1551422.1,17.117,222.0,0.00043,52.8,266,215.0,0.8082706766917294,nr,PSI-BLAST,phi29
173,UVY45549.1,17.257,226.0,0.000461,52.8,266,219.0,0.8233082706766918,nr,PSI-BLAST,phi29
174,UWI02241.1,14.796,196.0,0.00047,52.4,266,195.0,0.7330827067669173,nr,PSI-BLAST,phi29
175,DAG71047.1,14.634,205.0,0.00054,52.4,266,203.0,0.7631578947368421,nr,PSI-BLAST,phi29
176,DAI65264.1,19.725,218.0,0.000687,52.0,266,213.0,0.8007518796992481,nr,PSI-BLAST,phi29
177,DAJ64125.1,17.734,203.0,0.00073,52.4,266,202.0,0.7593984962406015,nr,PSI-BLAST,phi29
178,DAQ54201.1,16.3,227.0,0.001,51.6,266,222.0,0.8345864661654135,nr,PSI-BLAST,phi29
179,UOX39806.1,59.023,266.0,3.59e-71,229.0,266,266.0,1.0,nr,PSI-BLAST,phi29
180,NP_690636.1,62.03,266.0,9.27e-70,226.0,266,266.0,1.0,nr,PSI-BLAST,phi29
181,NP_040718.1,97.744,266.0,3.21e-67,219.0,266,266.0,1.0,nr,PSI-BLAST,phi29
182,YP_009910647.1,39.098,266.0,6.45e-58,196.0,266,266.0,1.0,nr,PSI-BLAST,phi29
183,AYJ76434.1,58.559,222.0,9.910000000000001e-57,191.0,266,222.0,0.8345864661654135,nr,PSI-BLAST,phi29
184,UXN78499.1,38.722,266.0,1.72e-56,192.0,266,266.0,1.0,nr,PSI-BLAST,phi29
185,NP_073686.1,38.202,267.0,7.540000000000001e-56,190.0,266,266.0,1.0,nr,PSI-BLAST,phi29
186,HSH24519.1,39.852,271.0,2.3699999999999997e-54,186.0,266,266.0,1.0,nr,PSI-BLAST,phi29
187,UTC25166.1,40.299,268.0,2.56e-52,181.0,266,266.0,1.0,nr,PSI-BLAST,phi29
188,YP_009910547.1,41.729,266.0,8.08e-52,180.0,266,266.0,1.0,nr,PSI-BLAST,phi29
189,DAW59525.1,21.654,254.0,1.12e-48,171.0,266,250.0,0.9398496240601504,nr,PSI-BLAST,phi29
190,MDP4120848.1,22.925,253.0,1.64e-47,168.0,266,249.0,0.9360902255639098,nr,PSI-BLAST,phi29
191,YP_010114692.1,30.798,263.0,6.810000000000001e-47,167.0,266,261.0,0.981203007518797,nr,PSI-BLAST,phi29
192,2EX3_B,100.0,196.0,3.65e-44,159.0,266,196.0,0.7368421052631579,nr,PSI-BLAST,phi29
193,DAU65350.1,18.577,253.0,5.63e-44,159.0,266,249.0,0.9360902255639098,nr,PSI-BLAST,phi29
194,DAU03933.1,16.216,259.0,5.3e-42,154.0,266,255.0,0.9586466165413534,nr,PSI-BLAST,phi29
195,DAF75000.1,16.216,259.0,6.36e-42,154.0,266,255.0,0.9586466165413534,nr,PSI-BLAST,phi29
196,DAO26671.1,18.677,257.0,1.31e-41,153.0,266,253.0,0.9511278195488722,nr,PSI-BLAST,phi29
197,MBO7714060.1,18.345,278.0,9.03e-41,152.0,266,262.0,0.9849624060150376,nr,PSI-BLAST,phi29
198,UWG09006.1,28.309,272.0,1.44e-40,151.0,266,260.0,0.9774436090225564,nr,PSI-BLAST,phi29
199,DAF15172.1,14.672,259.0,5.1099999999999995e-40,149.0,266,255.0,0.9586466165413534,nr,PSI-BLAST,phi29
200,DAK04608.1,16.797,256.0,1.09e-39,148.0,266,252.0,0.9473684210526316,nr,PSI-BLAST,phi29
201,MCU7526581.1,35.357,280.0,2.57e-39,149.0,266,263.0,0.9887218045112782,nr,PSI-BLAST,phi29
202,DAU67049.1,16.923,260.0,2.94e-39,147.0,266,256.0,0.962406015037594,nr,PSI-BLAST,phi29
203,MBO7694246.1,19.403,268.0,2.62e-38,145.0,266,252.0,0.9473684210526316,nr,PSI-BLAST,phi29
204,DAO80396.1,17.969,256.0,2.86e-38,144.0,266,252.0,0.9473684210526316,nr,PSI-BLAST,phi29
205,MBO5715289.1,20.0,275.0,1.11e-37,145.0,266,265.0,0.9962406015037594,nr,PSI-BLAST,phi29
206,YP_009910150.1,34.677,248.0,2.28e-37,142.0,266,243.0,0.9135338345864662,nr,PSI-BLAST,phi29
207,DAK66860.1,17.647,255.0,5.77e-37,141.0,266,249.0,0.9360902255639098,nr,PSI-BLAST,phi29
208,DAU41979.1,16.923,260.0,6.8500000000000005e-37,140.0,266,256.0,0.962406015037594,nr,PSI-BLAST,phi29
209,MBR0369953.1,19.101,267.0,7.1800000000000006e-37,141.0,266,251.0,0.943609022556391,nr,PSI-BLAST,phi29
210,DAI89915.1,16.406,256.0,1.44e-36,140.0,266,252.0,0.9473684210526316,nr,PSI-BLAST,phi29
211,MCU7526204.1,22.314,242.0,1.78e-36,140.0,266,241.0,0.9060150375939848,nr,PSI-BLAST,phi29
212,DAW67272.1,18.431,255.0,1.3e-35,137.0,266,249.0,0.9360902255639098,nr,PSI-BLAST,phi29
213,DAM29426.1,15.415,253.0,9.25e-35,135.0,266,247.0,0.9285714285714286,nr,PSI-BLAST,phi29
214,DAQ18774.1,20.161,248.0,8.19e-34,133.0,266,245.0,0.9210526315789472,nr,PSI-BLAST,phi29
215,MBQ8168678.1,20.472,254.0,9.35e-34,133.0,266,250.0,0.9398496240601504,nr,PSI-BLAST,phi29
216,WP_308698242.1,18.952,248.0,1.47e-33,132.0,266,244.0,0.9172932330827068,nr,PSI-BLAST,phi29
217,DAV68075.1,21.212,231.0,3.37e-33,131.0,266,231.0,0.868421052631579,nr,PSI-BLAST,phi29
218,MCR0248994.1,21.811,243.0,1.33e-32,130.0,266,243.0,0.9135338345864662,nr,PSI-BLAST,phi29
219,MBR3117556.1,18.8,250.0,2.37e-32,129.0,266,247.0,0.9285714285714286,nr,PSI-BLAST,phi29
220,DAF09937.1,23.75,240.0,2.9e-32,128.0,266,240.0,0.9022556390977444,nr,PSI-BLAST,phi29
221,DAX02392.1,21.074,242.0,3.13e-32,128.0,266,240.0,0.9022556390977444,nr,PSI-BLAST,phi29
222,WP_347280256.1,16.8,250.0,3.96e-32,128.0,266,248.0,0.9323308270676692,nr,PSI-BLAST,phi29
223,DAJ65761.1,15.686,255.0,1.24e-31,127.0,266,250.0,0.9398496240601504,nr,PSI-BLAST,phi29
224,HBN10498.1,17.899,257.0,1.75e-31,127.0,266,252.0,0.9473684210526316,nr,PSI-BLAST,phi29
225,DAD72321.1,17.899,257.0,2.8600000000000003e-31,126.0,266,253.0,0.9511278195488722,nr,PSI-BLAST,phi29
226,MDY2575742.1,19.2,250.0,5.1900000000000005e-31,126.0,266,244.0,0.9172932330827068,nr,PSI-BLAST,phi29
227,MBO5738685.1,19.217,281.0,6.970000000000001e-31,128.0,266,262.0,0.9849624060150376,nr,PSI-BLAST,phi29
228,DAQ51055.1,11.698,265.0,7.52e-31,125.0,266,254.0,0.9548872180451128,nr,PSI-BLAST,phi29
229,MBQ2167681.1,16.878,237.0,1.05e-30,125.0,266,232.0,0.8721804511278195,nr,PSI-BLAST,phi29
230,MBO7712864.1,20.339,236.0,4.15e-30,124.0,266,231.0,0.868421052631579,nr,PSI-BLAST,phi29
