Genome	Mean	Std	Min	Max	Median	Nr_ORF	Upstream	Downstream	Upstream-Downstream
JAFNQR010000283	-1.0	2.0	-3.0	1.0	-1.0	2	1	1	0
NZ_CZVL01000033	1.0	0.0	1.0	1.0	1.0	1	0	1	-1
NZ_CP043624	1240.0464480874316	1004.2617686780512	-431.0	2879.0	1284.0	366	46	320	-274
NZ_SHKW01000001	-50.32051282051282	1488.5672095819093	-2632.0	2378.0	21.5	468	228	240	-12
MK994522	-22.444444444444443	16.35788026956978	-46.0	3.0	-21.0	18	16	2	14
BK043702	7.25	6.378675411086537	-1.0	16.0	7.0	4	1	3	-2
MW334946	11.545454545454545	12.353605556594962	-10.0	26.0	17.0	11	3	8	-5
MH825712	-32.7	31.605537489496996	-93.0	10.0	-27.5	20	18	2	16
NC_048797	-87.49122807017544	58.61444729608202	-172.0	55.0	-102.0	57	51	6	45
MK892540	39.8	16.817451253583783	11.0	62.0	43.0	15	0	15	-15
RBMR01000006	102.33333333333333	51.56072086877701	7.0	177.0	110.0	21	0	21	-21
MK500505	3.5	1.5	2.0	5.0	3.5	2	0	2	-2
NZ_JAASTT010000023	-25.333333333333332	19.236828105370066	-64.0	-1.0	-21.5	12	12	0	12
NC_028966	-1.3636363636363635	29.82353979947382	-35.0	73.0	-11.0	33	21	12	9
JAGCAI010000547	6.5	0.5	6.0	7.0	6.5	2	0	2	-2
BK032497	-7.88135593220339	133.06199456704925	-205.0	239.0	-24.0	59	33	26	7
NZ_AVCY01000001	-35.25609756097561	204.0140365194662	-354.0	306.0	-29.5	82	47	35	12
JAGCAI010000053	4.166666666666667	7.104380495315705	-8.0	13.0	5.0	6	2	4	-2
LGGF01000003	-29.285714285714285	14.916091844661167	-50.0	-8.0	-22.0	7	7	0	7
NC_041881	-28.921875	50.44870683659171	-136.0	59.0	-29.0	64	43	21	22
ABJPJW010000008	82.0	52.93605968613776	-5.0	174.0	87.0	53	2	51	-49
LR796291	19.705882352941178	12.851022874749528	-11.0	40.0	24.0	17	1	16	-15
OM293948	-9.757575757575758	35.63878573504579	-97.0	78.0	-11.0	33	21	12	9
NZ_FUYR01000001	513.6375	478.7101352527958	-291.0	1376.0	561.0	160	33	127	-94
SCRD01000025	-37.25	43.79854449636426	-100.0	58.0	-43.5	16	14	2	12
NZ_WUUT01000007	2.625	39.07024923135249	-74.0	49.0	20.0	16	6	10	-4
NZ_LT907980	-863.5437881873727	1237.2493486481424	-2902.0	1215.0	-868.0	491	339	152	187
NZ_BCMH01000012	-28.5	27.577964349223798	-75.0	27.0	-31.0	34	27	7	20
NZ_AP026830	27.85388127853881	728.6705017430762	-1280.0	1290.0	93.0	219	104	115	-11
JAGCAQ010000350	-7.5	8.5	-16.0	1.0	-7.5	2	1	1	0
BK038204	2.5	5.315072906367325	-3.0	10.0	1.5	4	2	2	0
CABMGC010000032	-1.0	0.0	-1.0	-1.0	-1.0	1	1	0	1
LR796270	87.02941176470588	66.53326690864002	-21.0	184.0	99.5	68	10	58	-48
MK892746	-24.22222222222222	16.34882107729129	-49.0	-1.0	-20.0	9	9	0	9
JAKUSJ010000019	0.0	1.0	-1.0	1.0	0.0	2	1	1	0
JAPJNE010000659	1.0	0.0	1.0	1.0	1.0	1	0	1	-1
LR796815	-81.64179104477611	58.25694539146725	-186.0	9.0	-73.0	67	63	4	59
NYTQ01000159	-9.466666666666667	13.951662585114683	-30.0	14.0	-12.0	15	10	5	5
RXJR01000004	102.55555555555556	128.9009189788042	-94.0	392.0	84.0	45	12	33	-21
WLID01000001	-328.2395833333333	244.59446644700094	-724.0	94.0	-358.0	96	84	12	72
RGPI01000353	1.0	0.0	1.0	1.0	1.0	1	0	1	-1
NZ_FNQR01000016	0.4	26.777602581261824	-45.0	53.0	2.0	15	7	8	-1
NZ_FNCA01000001	153.275	154.04366061282758	-43.0	436.0	61.5	40	1	39	-38
LR796761	14.6	12.2245654319489	-3.0	47.0	12.0	15	1	14	-13
NZ_NFUR01000001	393.0357142857143	361.923900065712	-170.0	994.0	372.0	112	20	92	-72
MN807240	-2.466666666666667	10.262336749276724	-19.0	10.0	2.0	15	7	8	-1
MNVA01000076	1.0	2.0	-1.0	3.0	1.0	2	1	1	0
BKCP01013514	-19.0	0.0	-19.0	-19.0	-19.0	1	1	0	1
LR798215	-24.625	14.675127767757253	-47.0	7.0	-25.0	16	14	2	12
JAMWBK010000003	-287.3142857142857	251.18687083849076	-677.0	189.0	-308.0	35	28	7	21
SSEM01000605	4.0	7.516648189186454	-7.0	14.0	4.5	4	1	3	-2
LC629459	83.36559139784946	73.50821546452669	-80.0	206.0	88.0	93	16	77	-61
NW_005178032	-155.76923076923077	128.28223322403906	-368.0	-4.0	-130.0	13	13	0	13
DATHOG010000003	-54.5	0.5	-55.0	-54.0	-54.5	2	2	0	2
NC_055824	45.8	31.112055541220673	-4.0	91.0	35.5	10	1	9	-8
SSGX01000010	20.904761904761905	16.936589755979753	-5.0	66.0	18.0	21	2	19	-17
MK813942	-2.64	18.613715373347684	-30.0	28.0	-3.0	25	14	11	3
MN855816	3.75	4.841229182759271	-2.0	12.0	2.5	8	2	6	-4
JAYZKB010000414	1.0	0.0	1.0	1.0	1.0	1	0	1	-1
LR797288	-6.0476190476190474	15.338951943076752	-30.0	20.0	-7.0	21	15	6	9
NC_071138	-43.607142857142854	24.442847749852085	-80.0	1.0	-50.0	28	27	1	26
METS01000001	53.48051948051948	177.1464732844906	-239.0	387.0	53.0	77	34	43	-9
JAHAAJ010000056	3.5	4.349329450233296	-2.0	11.0	3.5	6	2	4	-2
NC_004165	7.166666666666667	4.740487551109298	1.0	14.0	7.0	6	0	6	-6
MK892552	-13.833333333333334	12.992519215131281	-36.0	8.0	-15.5	12	11	1	10
JAAALK010000283	-457.70935960591135	1694.3722173993126	-3329.0	3325.0	-429.0	203	127	76	51
LR797306	-2.5833333333333335	11.339152917607597	-28.0	11.0	0.0	12	6	6	0
PAZU01000056	1.1904761904761905	12.140522651411393	-17.0	23.0	-1.0	21	11	10	1
DPRR01000029	219.3709677419355	155.00418661057324	-51.0	470.0	258.5	62	4	58	-54
NZ_BMJZ01000005	-42.395348837209305	87.74968085408968	-203.0	106.0	-30.0	43	29	14	15
QMPN01000228	-2.5	0.5	-3.0	-2.0	-2.5	2	2	0	2
JAHCHE010000015	50.61538461538461	50.32286292078759	-29.0	142.0	39.0	13	2	11	-9
SSET01000119	4.333333333333333	6.018490028422596	-4.0	10.0	7.0	3	1	2	-1
JAAYVD010000083	-0.3333333333333333	2.494438257849294	-3.0	3.0	-1.0	3	2	1	1
MT364305	-15.357142857142858	48.83296185227051	-102.0	72.0	-16.5	14	8	6	2
QMYR01000043	-4.0	0.816496580927726	-5.0	-3.0	-4.0	3	3	0	3
NC_047901	75.4	56.29304279097611	-42.0	172.0	75.5	60	5	55	-50
JARLGB010000035	47.2	15.380507143784305	16.0	67.0	47.5	10	0	10	-10
JAFWHM010000026	6.666666666666667	1.247219128924647	5.0	8.0	7.0	3	0	3	-3
MK892597	-2.3125	15.238597171327813	-29.0	20.0	-4.5	16	9	7	2
NC_022096	-13.044444444444444	80.12239402745877	-172.0	126.0	-3.0	45	24	21	3
JAWSTK010000114	2.0	0.0	2.0	2.0	2.0	1	0	1	-1
PBYV01000032	-4.142857142857143	7.23934826246853	-16.0	5.0	-3.0	7	5	2	3
NC_048172	20.083333333333332	12.29470301480366	1.0	47.0	18.5	24	0	24	-24
MN855826	9.333333333333334	7.408703590297622	-1.0	16.0	13.0	3	1	2	-1
NZ_SNVX01000001	232.42372881355934	253.10429975720973	-152.0	682.0	169.5	118	21	97	-76
WLEH01000100	-3.0	0.0	-3.0	-3.0	-3.0	1	1	0	1
MFXB01000013	-2.0	0.0	-2.0	-2.0	-2.0	1	1	0	1
MN380459	-17.2	11.630133275246678	-44.0	-1.0	-15.5	20	20	0	20
NZ_BAQA01000037	85.625	61.18524638342155	-3.0	193.0	88.5	40	1	39	-38
PTJZ01000014	33.42857142857143	14.400963686574617	13.0	51.0	33.0	7	0	7	-7
BK059154	19.727272727272727	9.066330410228717	6.0	32.0	18.0	11	0	11	-11
MW015080	-15.583333333333334	15.470177403277859	-47.0	6.0	-15.5	24	19	5	14
LR796204	15.823529411764707	14.230188680976571	-11.0	37.0	16.0	17	2	15	-13
NZ_AFWV01000017	43.666666666666664	28.48196310337864	-1.0	87.0	40.5	18	1	17	-16
RHBQ01001720	1.0	0.0	1.0	1.0	1.0	1	0	1	-1
RFPH01000020	31.526315789473685	17.33984890680433	5.0	56.0	39.0	19	0	19	-19
CBDJ010000031	-9.666666666666666	4.4969125210773475	-16.0	-6.0	-7.0	3	3	0	3
JAAZMA010000200	-1.0	0.0	-1.0	-1.0	-1.0	1	1	0	1
FQVH01000020	-5.125	12.464324089175474	-33.0	8.0	-2.5	8	4	4	0
BJFU01000002	-12.857142857142858	25.306287030406224	-47.0	21.0	-10.0	7	4	3	1
ON042750	-5.714285714285714	5.118992247762548	-13.0	2.0	-7.0	7	6	1	5
NZ_QWDC01000007	-5.0	0.0	-5.0	-5.0	-5.0	1	1	0	1
JAOGXC010000005	-5.642857142857143	10.285962298597212	-18.0	13.0	-9.0	14	10	4	6
JAONPW010000002	0.25	8.39270516579726	-11.0	16.0	-1.5	8	4	4	0
NC_009803	64.33333333333333	31.293287479423462	4.0	102.0	73.0	21	0	21	-21
LJNR01000435	3.0	2.7386127875258306	-1.0	6.0	3.5	4	1	3	-2
MN940411	109.06666666666666	81.1745444500101	-9.0	214.0	112.0	45	5	40	-35
DOWI01000115	9.263157894736842	12.594243067717626	-8.0	32.0	6.0	19	5	14	-9
NZ_MTSE01000016	18.375	28.52164748046648	-11.0	65.0	5.0	8	3	5	-2
OP073953	4.8	5.30659966456864	-2.0	11.0	7.0	5	2	3	-1
BK039483	6.833333333333333	6.039223643997813	-2.0	13.0	9.5	6	2	4	-2
PCTM01000008	0.5	1.5	-1.0	2.0	0.5	2	1	1	0
NC_028789	9.428571428571429	5.066899385990914	2.0	16.0	10.0	7	0	7	-7
NZ_JACIAZ010000013	-15.363636363636363	23.5034725762066	-48.0	24.0	-22.0	11	8	3	5
BK052025	8.5	7.22841614740048	-1.0	19.0	8.0	4	1	3	-2
LR796186	-39.63157894736842	57.76225671678434	-152.0	54.0	-34.0	57	39	18	21
PAFV01000016	-15.714285714285714	16.9428812334206	-37.0	7.0	-7.0	7	6	1	5
NZ_JRKJ01000002	-10.021739130434783	175.04576906209599	-316.0	257.0	6.5	46	22	24	-2
NC_055720	-21.130434782608695	56.34441526624463	-121.0	90.0	-16.0	69	46	23	23
JAAZEO010000418	2.0	0.0	2.0	2.0	2.0	1	0	1	-1
NC_004678	5.2	4.707440918375927	-4.0	9.0	7.0	5	1	4	-3
MK620894	-28.933333333333334	62.38265428430852	-146.0	102.0	-32.5	30	22	8	14
NZ_QOWJ01000001	249.25	257.7432912156331	-206.0	685.0	238.0	72	17	55	-38
NZ_VEKM01000054	9.0	7.942978603201012	-3.0	22.0	9.0	11	2	9	-7
NC_025375	9.941176470588236	11.814600081530699	-8.0	28.0	9.0	17	5	12	-7
NZ_FPLA01000029	-35.1	190.69917596645695	-362.0	245.0	-41.5	70	38	32	6
MG592534	3.6956521739130435	16.058141054925585	-24.0	37.0	-1.0	23	12	11	1
BK018285	0.2	5.192301994298868	-5.0	7.0	-3.0	5	3	2	1
MT354570	-9.541666666666666	10.404242590832304	-30.0	6.0	-8.5	24	18	6	12
NC_011142	-24.25	24.586581706288495	-62.0	20.0	-22.5	32	26	6	20
JAOGPQ010000008	5.333333333333333	7.7746025264604	-7.0	16.0	4.0	9	3	6	-3
NC_009990	25.375	13.161853023035928	5.0	45.0	22.0	16	0	16	-16
NZ_JACSWY010000016	63.851851851851855	39.89959964869573	-5.0	111.0	76.0	27	2	25	-23
AZFC01000030	3.5	0.5	3.0	4.0	3.5	2	0	2	-2
BEIQ01000001	-496.359375	310.4826317197298	-1045.0	11.0	-437.5	128	127	1	126
LR796750	12.1	12.251122397560152	-9.0	32.0	11.5	10	2	8	-6
NZ_JAFNMG010000001	104.02803738317758	174.99086533937393	-202.0	438.0	74.0	107	30	77	-47
PAAX01000010	83.1	64.91679289675362	-30.0	170.0	92.0	20	4	16	-12
PBIO01000022	6.933333333333334	16.66719999146694	-15.0	34.0	5.0	15	6	9	-3
DASXUY010000040	-226.62264150943398	184.12508324455652	-487.0	91.0	-238.0	53	45	8	37
DATBGG010000020	-1.0	0.0	-1.0	-1.0	-1.0	1	1	0	1
VGTM01000170	2.0	0.0	2.0	2.0	2.0	1	0	1	-1
JAGCAQ010000439	-4.0	3.559026084010437	-7.0	1.0	-6.0	3	2	1	1
NC_049496	-29.85	56.67004646783577	-121.0	77.0	-33.5	60	43	17	26
DPZM01000229	-11.4	3.6110940170535573	-15.0	-5.0	-13.0	5	5	0	5
NZ_JAGYPM010000004	-9.21111111111111	221.7370061053031	-355.0	326.0	5.5	90	44	46	-2
JAGWHL010000382	0.0	1.0	-1.0	1.0	0.0	2	1	1	0
NZ_DAMCBQ010000026	16.862068965517242	23.310089776201078	-17.0	56.0	14.0	29	9	20	-11
JAOLCN010000001	-1.2	78.82289571494368	-110.0	136.0	-17.0	45	28	17	11
LR796388	-34.7037037037037	49.49247216595058	-103.0	75.0	-41.5	54	44	10	34
JAFWCC010000081	4.333333333333333	5.312459150169743	-2.0	11.0	4.0	3	1	2	-1
QMNQ01000018	-2.6666666666666665	4.921607686744467	-9.0	3.0	-2.0	3	2	1	1
DMHR01001323	-1.3333333333333333	1.699673171197595	-3.0	1.0	-2.0	3	2	1	1
NC_055882	-15.838709677419354	29.344556866477067	-67.0	42.0	-23.0	31	23	8	15
LC629469	-34.35616438356164	63.06408348960554	-133.0	86.0	-31.0	73	46	27	19
MG592422	-1.0344827586206897	24.040888672857687	-52.0	36.0	-2.0	29	15	14	1
BK057936	-5.0	3.24037034920393	-10.0	-1.0	-4.5	4	4	0	4
DUHL01000032	-2.0	1.0	-3.0	-1.0	-2.0	2	2	0	2
NC_055063	5.333333333333333	6.548960901462833	-3.0	13.0	6.0	3	1	2	-1
RFSS01000223	-3.0	1.0	-4.0	-2.0	-3.0	2	2	0	2
KY073338	133.58333333333334	123.60002135023188	-91.0	332.0	167.5	36	9	27	-18
CM024953	-84.95555555555555	552.3084064202437	-1212.0	672.0	40.0	45	21	24	-3
NZ_CP009574	593.4372294372295	862.6643436872654	-666.0	1917.0	791.0	231	102	129	-27
BK051214	-3.75	4.054318685056714	-11.0	2.0	-3.5	8	6	2	4
BCNO01000002	-212.10526315789474	121.62246506047676	-389.0	13.0	-216.0	57	56	1	55
NJPT01000023	2.1666666666666665	11.495168067013589	-19.0	15.0	4.0	6	3	3	0
BK052355	46.18421052631579	32.21952273745474	1.0	115.0	39.0	38	0	38	-38
DATMJF010000568	-2.5	0.5	-3.0	-2.0	-2.5	2	2	0	2
BK057890	8.375	3.998046397929869	3.0	15.0	8.5	8	0	8	-8
JAOJPH010000009	44.125	19.332210815113722	1.0	66.0	49.5	16	0	16	-16
BOZZ01000004	-21.785714285714285	12.0248467256556	-37.0	1.0	-25.5	14	13	1	12
NZ_AWFN01000003	116.92436974789916	250.60629538873985	-349.0	448.0	147.0	119	42	77	-35
NZ_RBNH01000039	-8.0	0.0	-8.0	-8.0	-8.0	1	1	0	1
LR796372	-25.133333333333333	19.23838755082025	-50.0	5.0	-33.0	15	12	3	9
LR796556	-24.272727272727273	16.714669164816158	-51.0	4.0	-23.5	22	20	2	18
JABARM010000001	13.75	50.18951583747347	-65.0	94.0	12.0	20	8	12	-4
BK041558	7.666666666666667	3.39934634239519	3.0	11.0	9.0	3	0	3	-3
NZ_FQXR01000005	-26.195121951219512	81.6734185232736	-142.0	138.0	-36.0	41	28	13	15
RGKA01000088	4.0	0.0	4.0	4.0	4.0	1	0	1	-1
NC_031935	119.20481927710843	62.448004209795336	2.0	224.0	127.0	83	0	83	-83
BK030649	-8.571428571428571	8.86174995386904	-20.0	7.0	-12.0	7	6	1	5
BK015667	12.666666666666666	22.493455838433444	-28.0	50.0	13.0	30	8	22	-14
LR797828	-15.714285714285714	12.594945536254793	-37.0	2.0	-11.5	14	13	1	12
NZ_CP029145	2257.373068432671	1315.457594990999	-215.0	4444.0	2316.0	453	22	431	-409
BK036873	-11.2	8.280096617793781	-22.0	4.0	-13.5	10	9	1	8
BK037364	-2.75	5.539629951540085	-10.0	4.0	-2.5	4	2	2	0
NC_030923	23.238095238095237	16.908450301845445	-3.0	45.0	26.0	21	2	19	-17
MN830296	15.375	138.891688166235	-215.0	231.0	-8.0	24	13	11	2
LR797817	-7.777777777777778	12.34483947762769	-26.0	17.0	-9.5	18	13	5	8
NC_019454	-8.105263157894736	8.931875130777442	-25.0	7.0	-8.0	19	15	4	11
BK027990	-2.8333333333333335	5.814254514170804	-13.0	3.0	-0.5	6	3	3	0
MK892636	-12.0	12.951833846988619	-30.0	7.0	-13.0	8	6	2	4
NZ_FNTV01000001	-769.3082524271845	1131.7592970401222	-2584.0	1195.0	-745.5	412	293	119	174
KT997862	-8.666666666666666	8.944271909999157	-23.0	8.0	-6.0	9	8	1	7
NZER01000311	-1.0	0.0	-1.0	-1.0	-1.0	1	1	0	1
NZ_MMAH01000007	-109.9245283018868	143.03368768740023	-385.0	135.0	-117.0	53	38	15	23
NZ_JAAKGT010000009	68.41176470588235	38.39739394271043	10.0	158.0	68.0	17	0	17	-17
BK047707	-5.0	5.354126134736337	-11.0	2.0	-6.0	3	2	1	1
MT682706	-9.444444444444445	14.077387524188314	-30.0	15.0	-12.0	27	19	8	11
NC_070869	-28.384615384615383	20.89916620176494	-67.0	3.0	-28.5	26	24	2	22
NZ_QUDJ01000004	-72.54545454545455	34.5078742960176	-131.0	-26.0	-80.0	11	11	0	11
MK892630	28.736842105263158	28.270948646908224	-16.0	71.0	31.0	19	5	14	-9
BK035515	-5.333333333333333	4.4969125210773475	-9.0	1.0	-8.0	3	2	1	1
LR797075	37.857142857142854	30.689358655629764	-16.0	88.0	41.0	28	4	24	-20
NZ_CP028843	653.5259631490787	1669.849044244852	-2273.0	3550.0	699.0	597	244	353	-109
NZ_FPAT01000007	78.6470588235294	87.08815086314122	-65.0	195.0	85.0	34	9	25	-16
NZ_QXEV01000001	51.592592592592595	57.93563431005217	-39.0	141.0	51.0	27	7	20	-13
MT909815	-18.133333333333333	41.34669138986684	-92.0	60.0	-19.5	60	41	19	22
JBAZJX010000323	-1.0	1.632993161855452	-3.0	1.0	-1.0	3	2	1	1
WLLG01000031	10.0	2.160246899469287	7.0	12.0	11.0	3	0	3	-3
MK373793	-7.354838709677419	14.412244765043848	-38.0	18.0	-8.0	31	22	9	13
NC_023005	-10.6875	12.642778324007741	-38.0	5.0	-6.5	16	13	3	10
NHMG01000004	-2.5454545454545454	19.867120559830582	-32.0	27.0	-7.0	22	13	9	4
MN855777	-0.9473684210526315	11.403940612606016	-18.0	27.0	-1.0	19	10	9	1
LR796437	-39.86363636363637	17.32128342543162	-67.0	-4.0	-39.5	22	22	0	22
MH719082	-34.142857142857146	26.603411371450832	-68.0	12.0	-39.0	21	18	3	15
JAXEAR010000123	3.5	7.0178344238090995	-7.0	12.0	4.5	4	1	3	-2
NC_069155	30.96	17.314687406938653	-4.0	54.0	35.0	25	1	24	-23
NZ_FUYN01000002	-27.065934065934066	150.40719837503994	-249.0	256.0	-71.0	91	54	37	17
WNKQ01000010	7.25	143.341739094608	-166.0	259.0	1.5	12	6	6	0
VXOI01000011	20.0	11.803954139750516	-2.0	35.0	22.0	6	1	5	-4
JAFONJ010000206	-5.75	6.179603547154137	-13.0	4.0	-7.0	4	3	1	2
NZ_ATCL01000022	-45.888888888888886	118.00060681995048	-211.0	132.0	-17.0	45	24	21	3
CM035714	-830.0571428571428	838.3563661920233	-2083.0	891.0	-1072.0	70	55	15	40
QNAK01000013	2.5	3.5	-1.0	6.0	2.5	2	1	1	0
